energy,s008,s009,s010,s011,s012,s013,s014,s015,mean
2.478880000000000109e+03,8.542547000000000335e-01,8.522494000000000458e-01,8.814691000000000054e-01,8.266267999999999949e-01,8.460136000000000323e-01,7.884176999999999991e-01,7.794084000000000012e-01,9.008407000000000497e-01,8.411600500000000480e-01
2.479119999999999891e+03,7.964274000000000076e-01,8.275670000000000526e-01,8.656899000000000122e-01,8.067014999999999603e-01,8.489489999999999537e-01,8.443066000000000182e-01,8.580839000000000105e-01,7.957376000000000449e-01,8.304328625000000352e-01
2.479369999999999891e+03,8.530853000000000463e-01,8.917123000000000133e-01,8.681543999999999928e-01,8.721430000000000016e-01,8.416881999999999975e-01,8.943286999999999765e-01,8.497154000000000096e-01,8.071966000000000419e-01,8.597529874999999544e-01
2.479620000000000346e+03,9.200911999999999979e-01,8.169176000000000215e-01,8.892584000000000044e-01,8.929491000000000511e-01,8.322342999999999824e-01,9.046028999999999876e-01,8.818070000000000075e-01,8.584948000000000023e-01,8.745444125000000346e-01
2.479860000000000127e+03,8.849569999999999936e-01,9.118536999999999892e-01,9.254978000000000371e-01,9.449819999999999887e-01,8.487128000000000450e-01,9.434344000000000063e-01,9.119108000000000214e-01,8.779869000000000145e-01,9.061669250000000675e-01
2.480109999999999673e+03,1.039082999999999979e+00,9.370551000000000297e-01,8.621647000000000061e-01,8.911339000000000343e-01,9.915135999999999949e-01,9.450047000000000308e-01,9.614422000000000246e-01,9.214550999999999714e-01,9.436065375000001199e-01
2.480349999999999909e+03,1.033924999999999983e+00,1.131820999999999966e+00,1.051129999999999898e+00,1.008226999999999984e+00,1.073306000000000093e+00,1.101707999999999910e+00,9.812695000000000167e-01,1.107315999999999967e+00,1.061087812499999838e+00
2.480599999999999909e+03,1.281252000000000058e+00,1.260283000000000042e+00,1.219840000000000035e+00,1.232040999999999942e+00,1.319749000000000061e+00,1.208641000000000076e+00,1.228925999999999963e+00,1.249522000000000022e+00,1.250031749999999997e+00
2.480850000000000364e+03,1.561450000000000005e+00,1.420557999999999987e+00,1.402230000000000087e+00,1.509744999999999893e+00,1.414746999999999977e+00,1.371544000000000096e+00,1.318963000000000108e+00,1.361482000000000081e+00,1.420089875000000168e+00
2.481090000000000146e+03,1.732053999999999983e+00,1.588373999999999953e+00,1.743826000000000098e+00,1.808737000000000039e+00,1.780446999999999891e+00,1.896395000000000053e+00,1.592222000000000026e+00,1.568589000000000011e+00,1.713830499999999812e+00
2.481339999999999691e+03,2.294045999999999808e+00,2.087483000000000199e+00,2.143682999999999783e+00,2.242687999999999793e+00,2.371380999999999961e+00,2.419166999999999845e+00,2.142859000000000069e+00,2.168315000000000214e+00,2.233702749999999959e+00
2.481579999999999927e+03,2.897098999999999869e+00,2.845518999999999910e+00,2.886032999999999848e+00,3.072156999999999805e+00,3.312879000000000129e+00,3.022526000000000046e+00,2.897407999999999983e+00,2.773439999999999905e+00,2.963382624999999937e+00
2.481829999999999927e+03,3.243971999999999856e+00,3.206637000000000182e+00,3.180264999999999898e+00,3.439137000000000111e+00,3.712784999999999780e+00,3.324580000000000091e+00,3.231497000000000064e+00,3.348857999999999890e+00,3.335966375000000372e+00
2.482079999999999927e+03,3.567638000000000087e+00,3.462070999999999898e+00,3.577863999999999933e+00,3.671622000000000163e+00,3.807074000000000069e+00,3.587574000000000041e+00,3.268530000000000157e+00,3.433876000000000150e+00,3.547031125000000618e+00
2.482320000000000164e+03,3.264587999999999823e+00,3.235444999999999904e+00,3.255398000000000014e+00,3.506650000000000045e+00,3.797101000000000059e+00,3.422546000000000088e+00,3.327938000000000063e+00,3.401107999999999798e+00,3.401346750000000085e+00
2.482570000000000164e+03,3.002089999999999925e+00,2.886875999999999998e+00,3.002905000000000157e+00,3.119815000000000005e+00,3.479229999999999823e+00,3.163475000000000037e+00,3.037050999999999945e+00,2.895715000000000039e+00,3.073394625000000158e+00
2.482819999999999709e+03,2.562266999999999850e+00,2.538015000000000132e+00,2.529053999999999913e+00,2.719018999999999853e+00,2.873066000000000120e+00,2.660550000000000193e+00,2.732641999999999793e+00,2.491058999999999912e+00,2.638208999999999804e+00
2.483059999999999945e+03,2.223317999999999905e+00,2.036919000000000146e+00,2.088651000000000035e+00,2.175133999999999901e+00,2.228660999999999781e+00,2.388886999999999983e+00,2.050571000000000144e+00,2.229837999999999987e+00,2.177747375000000041e+00
2.483309999999999945e+03,1.791706999999999939e+00,1.724075999999999942e+00,1.681689999999999907e+00,1.918325000000000058e+00,1.953060000000000018e+00,1.744675999999999894e+00,1.619436000000000098e+00,1.807870000000000088e+00,1.780105000000000048e+00
2.483560000000000400e+03,1.510232999999999937e+00,1.346422999999999925e+00,1.528505999999999920e+00,1.503049999999999997e+00,1.639509000000000105e+00,1.621480000000000032e+00,1.521613000000000104e+00,1.518701999999999996e+00,1.523689500000000141e+00
2.483809999999999945e+03,1.324678999999999940e+00,1.281411000000000078e+00,1.214399000000000006e+00,1.361536999999999997e+00,1.365459999999999896e+00,1.263900000000000023e+00,1.334923000000000082e+00,1.160917999999999894e+00,1.288403375000000128e+00
2.484049999999999727e+03,1.305547000000000013e+00,1.130476999999999954e+00,1.158765999999999963e+00,1.204598999999999975e+00,1.315099000000000018e+00,1.194426999999999905e+00,1.216479000000000088e+00,1.159566000000000097e+00,1.210620000000000029e+00
2.484300000000000182e+03,1.038073999999999941e+00,1.062772000000000050e+00,1.065790000000000015e+00,1.043222000000000094e+00,1.075572999999999890e+00,1.018377000000000088e+00,1.133896000000000015e+00,1.123976000000000086e+00,1.070209999999999884e+00
2.484550000000000182e+03,1.032003000000000004e+00,1.084537000000000084e+00,1.054877000000000065e+00,1.008483000000000018e+00,1.198366000000000042e+00,1.082211000000000034e+00,1.073614999999999986e+00,1.023276999999999992e+00,1.069671124999999945e+00
2.484799999999999727e+03,1.120255000000000001e+00,9.421929999999999472e-01,8.909154999999999713e-01,1.069204999999999961e+00,1.061793999999999905e+00,1.052789999999999893e+00,1.063766999999999907e+00,1.053901999999999894e+00,1.031852687499999810e+00
2.485039999999999964e+03,9.869369000000000058e-01,1.011803000000000008e+00,1.046032000000000073e+00,8.967401000000000399e-01,1.072063999999999906e+00,9.213042000000000176e-01,1.035387999999999975e+00,1.049652999999999947e+00,1.002490149999999858e+00
2.485289999999999964e+03,1.032029000000000085e+00,9.385289999999999466e-01,9.607449999999999601e-01,1.071366000000000041e+00,1.079277999999999960e+00,1.002779000000000087e+00,1.015519999999999978e+00,1.002539000000000069e+00,1.012848125000000099e+00
2.485539999999999964e+03,9.759107999999999672e-01,9.984342999999999968e-01,9.267009999999999970e-01,9.889985000000000026e-01,9.467339999999999645e-01,9.920788999999999858e-01,9.727238999999999747e-01,8.990930000000000311e-01,9.625842999999999483e-01
2.485789999999999964e+03,9.092411999999999717e-01,9.177284999999999471e-01,1.038616999999999901e+00,9.730607000000000006e-01,1.017527000000000070e+00,9.492895000000000083e-01,9.583688999999999680e-01,8.989380000000000148e-01,9.578463499999999575e-01
2.486029999999999745e+03,9.716337999999999919e-01,8.945615000000000094e-01,9.589929999999999843e-01,9.329899999999999860e-01,8.985803999999999458e-01,9.810050000000000159e-01,8.759177000000000213e-01,9.510699999999999710e-01,9.330939249999998797e-01
2.486279999999999745e+03,9.545578999999999592e-01,8.619906000000000512e-01,1.014604999999999979e+00,8.816473999999999700e-01,9.856293000000000415e-01,9.326231999999999855e-01,9.510515000000000496e-01,9.628335999999999562e-01,9.431173124999999713e-01
2.486530000000000200e+03,8.293082999999999982e-01,9.870480000000000365e-01,8.741757999999999473e-01,9.894507999999999637e-01,9.783617999999999482e-01,9.151280000000000525e-01,9.030338999999999450e-01,8.334924000000000222e-01,9.137498749999999337e-01
2.486780000000000200e+03,8.877656000000000436e-01,8.634541000000000022e-01,8.726243000000000194e-01,8.140277000000000207e-01,8.756642999999999510e-01,9.545141000000000320e-01,8.906211000000000544e-01,8.621398999999999591e-01,8.776013874999999409e-01
2.487029999999999745e+03,9.199629999999999752e-01,8.185057000000000027e-01,8.799439999999999484e-01,8.947642000000000095e-01,9.789961000000000357e-01,9.283034000000000008e-01,8.279971999999999888e-01,1.038513999999999937e+00,9.108734500000000844e-01
2.487280000000000200e+03,8.920586000000000348e-01,9.178271000000000068e-01,8.717852000000000379e-01,9.336029999999999607e-01,7.817796000000000189e-01,8.962493000000000265e-01,9.086090999999999474e-01,8.748922999999999561e-01,8.846005249999999709e-01
2.487519999999999982e+03,8.894581999999999766e-01,8.516629999999999479e-01,8.984568000000000554e-01,8.648466000000000209e-01,9.227651999999999521e-01,7.834440999999999766e-01,8.538681999999999661e-01,8.431127999999999956e-01,8.634518624999999448e-01
2.487769999999999982e+03,7.915364000000000289e-01,9.539062999999999848e-01,7.959975999999999718e-01,8.520510999999999502e-01,7.815636999999999723e-01,8.925191000000000097e-01,8.395645999999999942e-01,9.281146000000000118e-01,8.544066750000000043e-01
2.488019999999999982e+03,9.044090000000000185e-01,8.787793999999999883e-01,8.903244000000000158e-01,8.214728999999999504e-01,8.964547999999999961e-01,8.885612000000000510e-01,8.169781999999999877e-01,8.761856999999999562e-01,8.716456999999999677e-01
2.488269999999999982e+03,8.936977999999999867e-01,9.628119000000000538e-01,8.248434000000000044e-01,8.653108000000000466e-01,8.595163999999999582e-01,8.081836999999999493e-01,9.511714000000000002e-01,8.533104999999999718e-01,8.773557374999999547e-01
2.488519999999999982e+03,8.408204000000000233e-01,9.460644999999999749e-01,8.708881000000000538e-01,8.094451000000000285e-01,9.387309000000000347e-01,9.563179000000000540e-01,9.469672000000000089e-01,8.621132000000000239e-01,8.964184125000000947e-01
2.488769999999999982e+03,8.514620999999999995e-01,8.515228000000000241e-01,8.563701999999999703e-01,9.120886999999999745e-01,1.000278999999999918e+00,1.018780000000000019e+00,9.460874999999999702e-01,9.490870999999999613e-01,9.232096749999999519e-01
2.489019999999999982e+03,8.941409999999999636e-01,9.512958000000000247e-01,9.106315999999999855e-01,8.602997000000000005e-01,9.159024999999999528e-01,9.693998999999999810e-01,8.770257999999999665e-01,8.708624000000000365e-01,9.061948374999999611e-01
2.489269999999999982e+03,8.980763000000000496e-01,9.832075999999999594e-01,9.851948999999999845e-01,8.617934999999999901e-01,9.220836000000000032e-01,8.990804999999999492e-01,9.064041999999999932e-01,8.745235000000000092e-01,9.162955125000000756e-01
2.489519999999999982e+03,9.999120000000000230e-01,9.582553000000000321e-01,9.790626000000000051e-01,9.046672999999999520e-01,9.481376000000000248e-01,8.484454000000000162e-01,9.603796999999999473e-01,8.506061000000000316e-01,9.311832500000000179e-01
2.489769999999999982e+03,9.654825999999999686e-01,9.303862999999999994e-01,9.112700999999999718e-01,9.709181999999999535e-01,8.527008999999999839e-01,8.632203000000000515e-01,9.356168999999999736e-01,8.861322000000000365e-01,9.144659374999999368e-01
2.490009999999999764e+03,1.005304999999999893e+00,9.474398000000000541e-01,9.681912999999999769e-01,9.886532999999999571e-01,8.389754999999999852e-01,8.686842999999999648e-01,9.806983000000000228e-01,9.105626999999999471e-01,9.385637749999999890e-01
2.490260000000000218e+03,9.591125999999999818e-01,9.979413000000000311e-01,9.909048999999999774e-01,9.066252999999999673e-01,9.378132000000000135e-01,9.521148999999999862e-01,9.159494000000000247e-01,8.938285000000000258e-01,9.442862624999999177e-01
2.490510000000000218e+03,9.389825000000000532e-01,1.016027999999999931e+00,9.759754000000000485e-01,9.180163000000000073e-01,1.041117999999999988e+00,9.948808999999999569e-01,1.021387000000000045e+00,9.972908000000000328e-01,9.879598625000000078e-01
2.490759999999999764e+03,9.966656000000000404e-01,1.038416000000000006e+00,9.708299999999999708e-01,1.024475000000000025e+00,9.585025000000000350e-01,1.089116999999999891e+00,9.763397999999999799e-01,9.979160999999999726e-01,1.006532749999999865e+00
2.491010000000000218e+03,1.032985000000000042e+00,9.133951000000000153e-01,1.053007999999999944e+00,1.052065000000000028e+00,1.016332999999999931e+00,1.026777000000000051e+00,9.455504999999999605e-01,1.086194000000000104e+00,1.015788450000000065e+00
