energy,s032,s033,mean
2.507200000000000273e+03,9.193246999999999947e-01,8.141344999999999832e-01,8.667295999999999889e-01
2.507449999999999818e+03,8.784817999999999794e-01,9.214295999999999598e-01,8.999557000000000251e-01
2.507710000000000036e+03,9.600545000000000329e-01,8.077024999999999899e-01,8.838785000000000114e-01
2.507969999999999800e+03,9.609286999999999690e-01,8.742805999999999633e-01,9.176046499999999106e-01
2.508220000000000255e+03,8.768527999999999878e-01,7.829076000000000368e-01,8.298802000000000678e-01
2.508480000000000018e+03,8.642866999999999633e-01,8.356679000000000190e-01,8.499772999999999357e-01
2.508739999999999782e+03,9.456582000000000043e-01,9.359979999999999967e-01,9.408281000000000560e-01
2.508989999999999782e+03,8.475445000000000340e-01,9.254487000000000130e-01,8.864966000000000790e-01
2.509250000000000000e+03,8.930226999999999471e-01,8.680871999999999478e-01,8.805549499999999474e-01
2.509510000000000218e+03,7.820724999999999483e-01,8.959753000000000300e-01,8.390238999999999336e-01
2.509760000000000218e+03,7.977328999999999670e-01,8.175223000000000351e-01,8.076276000000000010e-01
2.510019999999999982e+03,9.574570000000000025e-01,1.028394999999999948e+00,9.929259999999999753e-01
2.510279999999999745e+03,9.038654999999999884e-01,9.023160999999999543e-01,9.030907999999999713e-01
2.510530000000000200e+03,9.606770999999999505e-01,8.720782000000000256e-01,9.163776500000000436e-01
2.510789999999999964e+03,9.348908999999999692e-01,8.691392999999999480e-01,9.020150999999999586e-01
2.511050000000000182e+03,8.104373999999999745e-01,8.252237999999999518e-01,8.178305999999999631e-01
2.511299999999999727e+03,8.013493000000000421e-01,9.126549000000000467e-01,8.570021000000000999e-01
2.511559999999999945e+03,7.846197000000000310e-01,8.154951999999999757e-01,8.000574499999999478e-01
2.511820000000000164e+03,9.251612000000000169e-01,9.482376000000000138e-01,9.366993999999999598e-01
2.512079999999999927e+03,9.212367000000000195e-01,8.963681000000000010e-01,9.088024000000000102e-01
2.512340000000000146e+03,7.862109000000000458e-01,8.399815000000000476e-01,8.130962000000000467e-01
2.512589999999999691e+03,8.231230000000000491e-01,9.315018999999999938e-01,8.773124500000000214e-01
2.512849999999999909e+03,8.511043000000000358e-01,8.738107000000000513e-01,8.624575000000000990e-01
2.513110000000000127e+03,8.650352000000000041e-01,6.683795000000000153e-01,7.667073500000000097e-01
2.513369999999999891e+03,7.268898000000000303e-01,9.216680999999999901e-01,8.242789500000000658e-01
2.513630000000000109e+03,8.928968999999999934e-01,9.653450999999999560e-01,9.291209999999999747e-01
2.513880000000000109e+03,8.812491000000000074e-01,8.592773999999999690e-01,8.702632500000000437e-01
2.514139999999999873e+03,8.744942999999999467e-01,8.623075000000000045e-01,8.684008999999999201e-01
2.514400000000000091e+03,8.545508000000000548e-01,8.623214999999999630e-01,8.584361499999999534e-01
2.514660000000000309e+03,8.310916000000000414e-01,9.101789999999999603e-01,8.706353000000000009e-01
2.514920000000000073e+03,8.116638000000000464e-01,7.297405000000000141e-01,7.707021499999999747e-01
2.515179999999999836e+03,8.571419999999999595e-01,8.541710999999999609e-01,8.556565499999999602e-01
2.515440000000000055e+03,8.719597000000000042e-01,9.033963000000000410e-01,8.876779999999999671e-01
2.515699999999999818e+03,9.203687999999999869e-01,8.373441999999999830e-01,8.788564999999999294e-01
