energy,s031,s032,s033,s034,mean
2.491010000000000218e+03,1.171737999999999946e+00,9.685742999999999991e-01,1.068866000000000094e+00,9.351009000000000126e-01,1.036069799999999930e+00
2.491260000000000218e+03,9.565261000000000458e-01,1.106832000000000038e+00,1.055763000000000007e+00,1.092206999999999928e+00,1.052832025000000060e+00
2.491509999999999764e+03,1.216842999999999897e+00,1.011242999999999892e+00,1.067339999999999955e+00,9.397720000000000518e-01,1.058799500000000116e+00
2.491760000000000218e+03,1.198487000000000080e+00,1.079436999999999980e+00,1.005764000000000102e+00,1.057617000000000029e+00,1.085326250000000048e+00
2.492010000000000218e+03,1.000744000000000078e+00,1.115151000000000003e+00,1.070807999999999982e+00,1.006701000000000068e+00,1.048351000000000033e+00
2.492259999999999764e+03,1.124173000000000089e+00,9.902271000000000267e-01,1.158541999999999961e+00,1.048052999999999901e+00,1.080248774999999828e+00
2.492509999999999764e+03,1.134908999999999946e+00,1.091771000000000047e+00,1.094632999999999967e+00,1.168309999999999960e+00,1.122405749999999980e+00
2.492760000000000218e+03,1.135942999999999925e+00,1.174987999999999921e+00,1.211314000000000002e+00,1.125148000000000037e+00,1.161848250000000027e+00
2.493019999999999982e+03,1.152903000000000011e+00,1.285957000000000017e+00,1.213295000000000012e+00,1.154228000000000032e+00,1.201595750000000073e+00
2.493269999999999982e+03,9.501243999999999801e-01,1.143205999999999944e+00,1.137864999999999904e+00,1.145618000000000025e+00,1.094203349999999908e+00
2.493519999999999982e+03,1.159505999999999926e+00,1.241189000000000098e+00,1.140053999999999901e+00,1.112692000000000014e+00,1.163360249999999985e+00
2.493769999999999982e+03,1.208020000000000094e+00,1.243219000000000074e+00,1.124433999999999934e+00,1.157731000000000066e+00,1.183351000000000042e+00
2.494019999999999982e+03,1.151183000000000067e+00,1.005789000000000044e+00,1.180369999999999919e+00,1.237748999999999988e+00,1.143772750000000116e+00
2.494270000000000437e+03,1.141888999999999932e+00,1.146970999999999963e+00,1.120152000000000037e+00,1.238337000000000021e+00,1.161837250000000044e+00
2.494519999999999982e+03,1.163817000000000101e+00,1.142797000000000063e+00,1.202158000000000060e+00,1.056295999999999902e+00,1.141267000000000031e+00
2.494769999999999982e+03,1.135226000000000068e+00,1.216536000000000062e+00,1.255735999999999963e+00,1.207608999999999932e+00,1.203776749999999840e+00
2.495019999999999982e+03,1.095936000000000021e+00,1.071769999999999889e+00,1.229945999999999984e+00,1.054388000000000103e+00,1.113010000000000055e+00
2.495269999999999982e+03,1.265411000000000064e+00,1.188133000000000106e+00,1.162441000000000058e+00,1.101952999999999960e+00,1.179484500000000047e+00
2.495530000000000200e+03,1.222056999999999949e+00,1.099998999999999949e+00,1.243216000000000099e+00,1.035147000000000039e+00,1.150104750000000120e+00
2.495779999999999745e+03,1.071463000000000054e+00,9.345949999999999536e-01,1.146190000000000042e+00,1.295182999999999973e+00,1.111857749999999978e+00
2.496030000000000200e+03,1.266729999999999912e+00,1.188133000000000106e+00,1.223657999999999912e+00,1.242358999999999991e+00,1.230220000000000091e+00
