energy,s026,s027,s028,s029,s030,s031,mean
2.478880000000000109e+03,7.528369000000000311e-01,7.388578000000000090e-01,6.546745999999999954e-01,7.198371000000000075e-01,6.909201000000000370e-01,6.978396999999999517e-01,7.091610333333333571e-01
2.479119999999999891e+03,7.599698999999999760e-01,7.818273000000000028e-01,7.174011999999999611e-01,6.844508999999999732e-01,7.820945000000000258e-01,7.375952000000000064e-01,7.438898333333332502e-01
2.479369999999999891e+03,7.918460999999999972e-01,6.907088999999999590e-01,6.715088000000000168e-01,7.388276999999999761e-01,7.822945999999999511e-01,7.206074999999999564e-01,7.326322666666666983e-01
2.479620000000000346e+03,7.675326000000000093e-01,7.898547000000000207e-01,7.396922000000000219e-01,7.897781999999999858e-01,7.677294000000000063e-01,7.432261999999999480e-01,7.663022166666667578e-01
2.479860000000000127e+03,8.272395000000000165e-01,7.891797999999999869e-01,8.370632999999999546e-01,8.121833000000000524e-01,8.116311999999999971e-01,7.941759000000000457e-01,8.119121666666666570e-01
2.480109999999999673e+03,8.252289999999999903e-01,9.007859000000000282e-01,8.923056000000000321e-01,9.199393999999999627e-01,9.446185999999999749e-01,9.693796000000000079e-01,9.087096833333333512e-01
2.480349999999999909e+03,9.666244999999999976e-01,1.035344000000000042e+00,1.036426000000000069e+00,1.042588999999999988e+00,9.743180000000000174e-01,1.095266999999999991e+00,1.025094750000000055e+00
2.480599999999999909e+03,1.177200999999999942e+00,1.278481999999999896e+00,1.191880999999999968e+00,1.206372000000000000e+00,1.230623999999999940e+00,1.220949999999999980e+00,1.217584999999999917e+00
2.480850000000000364e+03,1.452863999999999933e+00,1.434738999999999987e+00,1.470529999999999893e+00,1.500073999999999907e+00,1.445230000000000015e+00,1.442264999999999908e+00,1.457616999999999718e+00
2.481090000000000146e+03,1.795193999999999956e+00,1.843920999999999921e+00,1.687977999999999978e+00,1.922172999999999909e+00,1.714369000000000032e+00,1.917245000000000088e+00,1.813479999999999981e+00
2.481339999999999691e+03,2.389343000000000217e+00,2.495773999999999937e+00,2.542619999999999880e+00,2.406374000000000013e+00,2.580090999999999912e+00,2.502038999999999902e+00,2.486040166666666718e+00
2.481579999999999927e+03,3.163530999999999871e+00,3.038844000000000101e+00,3.207129000000000119e+00,3.249206000000000039e+00,3.332800999999999902e+00,3.501965000000000217e+00,3.248912666666667004e+00
2.481829999999999927e+03,3.422444000000000042e+00,3.762100000000000222e+00,3.737741000000000202e+00,3.723942000000000085e+00,3.761230999999999991e+00,3.891023999999999816e+00,3.716413666666666504e+00
2.482079999999999927e+03,3.762249999999999872e+00,4.123592999999999620e+00,3.767468000000000039e+00,3.948681999999999803e+00,4.300584999999999880e+00,4.124643999999999977e+00,4.004537000000000013e+00
2.482320000000000164e+03,3.744965000000000099e+00,3.807717999999999936e+00,3.521846000000000032e+00,3.865285000000000082e+00,3.794639000000000095e+00,4.059315999999999924e+00,3.798961500000000324e+00
2.482570000000000164e+03,3.266544999999999810e+00,3.297458999999999918e+00,3.324650000000000105e+00,3.215250999999999859e+00,3.300311999999999912e+00,3.305829999999999824e+00,3.285007833333333238e+00
2.482819999999999709e+03,2.790817000000000103e+00,3.026583000000000023e+00,2.717772000000000077e+00,3.043445000000000178e+00,2.953138000000000041e+00,2.992650999999999950e+00,2.920734333333333321e+00
2.483059999999999945e+03,2.498383000000000020e+00,2.282445000000000057e+00,2.348329999999999806e+00,2.345524999999999860e+00,2.308981999999999868e+00,2.430212000000000039e+00,2.368979500000000016e+00
2.483309999999999945e+03,2.039766999999999886e+00,2.019204000000000221e+00,1.908435000000000104e+00,2.016608999999999874e+00,1.890052000000000065e+00,2.054943000000000186e+00,1.988168333333333315e+00
2.483560000000000400e+03,1.495989000000000013e+00,1.705997999999999903e+00,1.595935000000000104e+00,1.659213999999999967e+00,1.673470000000000013e+00,1.602290999999999910e+00,1.622149499999999911e+00
2.483809999999999945e+03,1.325102999999999920e+00,1.260264000000000051e+00,1.306464000000000070e+00,1.384414000000000033e+00,1.392835999999999963e+00,1.278005000000000058e+00,1.324514333333333349e+00
2.484049999999999727e+03,1.167248000000000063e+00,1.331707999999999892e+00,1.236857000000000095e+00,1.194098000000000104e+00,1.196696999999999900e+00,1.249463999999999908e+00,1.229345333333333068e+00
2.484300000000000182e+03,1.149113999999999969e+00,1.143744000000000094e+00,1.032424999999999926e+00,1.061371000000000064e+00,1.037549999999999972e+00,1.055701000000000001e+00,1.079984166666666523e+00
2.484550000000000182e+03,1.050664999999999960e+00,1.011835000000000040e+00,1.117674999999999974e+00,1.105534000000000017e+00,1.176279000000000075e+00,1.053986000000000089e+00,1.085995666666666803e+00
2.484799999999999727e+03,1.009813000000000072e+00,9.198266000000000497e-01,9.571243000000000389e-01,9.007528000000000201e-01,1.062427999999999928e+00,9.644262000000000112e-01,9.690618166666666866e-01
2.485039999999999964e+03,9.128256999999999621e-01,9.404164999999999885e-01,9.851849000000000300e-01,9.964363000000000525e-01,1.064778999999999920e+00,1.130366999999999900e+00,1.005001566666666735e+00
2.485289999999999964e+03,9.731746999999999481e-01,9.945475999999999761e-01,8.894530999999999965e-01,8.910614999999999508e-01,8.507614000000000010e-01,9.500676000000000121e-01,9.248443166666665549e-01
2.485539999999999964e+03,9.115265000000000173e-01,1.003403000000000045e+00,9.622144999999999726e-01,9.733661000000000119e-01,8.941316000000000264e-01,9.296579000000000370e-01,9.457165999999999073e-01
2.485789999999999964e+03,8.864176999999999751e-01,9.077496999999999927e-01,9.616968000000000183e-01,9.901417000000000135e-01,9.893958999999999948e-01,8.541244000000000058e-01,9.315877000000000185e-01
2.486029999999999745e+03,9.860674000000000383e-01,8.547434999999999894e-01,9.000595000000000123e-01,8.435671000000000141e-01,8.919614999999999627e-01,9.511450000000000182e-01,9.045906666666668761e-01
2.486279999999999745e+03,8.740782000000000274e-01,8.992622000000000115e-01,7.544720999999999789e-01,8.891909000000000063e-01,9.261072999999999666e-01,9.043896999999999631e-01,8.745834000000001218e-01
2.486530000000000200e+03,9.514447000000000321e-01,8.392511999999999750e-01,8.579738999999999560e-01,9.471129000000000353e-01,7.268982999999999972e-01,8.224255999999999789e-01,8.575177666666666809e-01
2.486780000000000200e+03,8.793687000000000031e-01,7.480561000000000016e-01,8.455557999999999685e-01,9.091375999999999902e-01,9.137248000000000037e-01,9.094988999999999990e-01,8.675569833333333092e-01
2.487029999999999745e+03,8.585131000000000290e-01,8.850788000000000544e-01,9.023025999999999547e-01,7.976463999999999777e-01,8.987281000000000297e-01,8.235097999999999585e-01,8.609631333333332970e-01
2.487280000000000200e+03,7.476551000000000169e-01,8.071314000000000544e-01,8.814351000000000269e-01,9.458303000000000127e-01,9.203225000000000433e-01,8.163202999999999987e-01,8.531157833333332663e-01
2.487519999999999982e+03,8.607557000000000125e-01,8.548405999999999505e-01,8.355749999999999567e-01,8.220646000000000342e-01,8.221876999999999658e-01,8.588609000000000382e-01,8.423807499999999004e-01
2.487769999999999982e+03,8.788945000000000229e-01,8.477592000000000461e-01,8.490067999999999504e-01,8.557643999999999807e-01,9.106290999999999691e-01,8.497266999999999459e-01,8.652967833333331527e-01
2.488019999999999982e+03,8.931259000000000281e-01,8.944661999999999891e-01,9.185005000000000530e-01,7.510664999999999702e-01,7.874664999999999582e-01,7.430094000000000420e-01,8.312724999999999698e-01
2.488269999999999982e+03,8.424340999999999635e-01,8.655165000000000219e-01,8.551214999999999788e-01,8.951054999999999984e-01,7.273361000000000409e-01,8.495639999999999858e-01,8.391796166666666279e-01
2.488519999999999982e+03,8.117434000000000038e-01,8.455861000000000072e-01,8.105771000000000504e-01,8.041013000000000188e-01,8.495355999999999463e-01,8.319461000000000217e-01,8.255816000000000265e-01
2.488769999999999982e+03,8.427651000000000447e-01,8.768162000000000456e-01,8.463268999999999931e-01,7.938815000000000177e-01,8.540758999999999990e-01,8.716745000000000188e-01,8.475900166666666680e-01
2.489019999999999982e+03,9.318239999999999856e-01,8.420990999999999893e-01,8.880350000000000188e-01,9.505274000000000223e-01,9.550374999999999837e-01,9.176098999999999783e-01,9.141888166666666260e-01
