energy,s034,s035,s036,s037,s038,s039,mean
2.490260000000000218e+03,9.283713000000000104e-01,9.179667000000000243e-01,1.000710999999999906e+00,9.841043999999999903e-01,8.543652000000000468e-01,9.932307999999999693e-01,9.464582333333333430e-01
2.490510000000000218e+03,8.761889000000000483e-01,1.037995999999999919e+00,9.945496000000000336e-01,9.616993000000000347e-01,9.220688000000000217e-01,9.946458000000000244e-01,9.645247333333332174e-01
2.490759999999999764e+03,9.968761000000000427e-01,1.080983000000000027e+00,1.056326000000000098e+00,1.040812000000000070e+00,1.063541000000000070e+00,1.040928999999999993e+00,1.046577850000000032e+00
2.491010000000000218e+03,9.887884999999999591e-01,1.038739000000000079e+00,9.896426000000000389e-01,9.658345999999999876e-01,1.198318999999999912e+00,1.036114999999999897e+00,1.036239783333333220e+00
2.491260000000000218e+03,1.003349999999999964e+00,1.065585000000000004e+00,1.096370999999999984e+00,1.052243999999999957e+00,1.037991000000000108e+00,1.029179000000000066e+00,1.047453333333333125e+00
2.491509999999999764e+03,9.676247000000000043e-01,1.052964999999999929e+00,1.110708999999999946e+00,1.062386999999999970e+00,1.019670999999999994e+00,9.411625999999999603e-01,1.025753216666666523e+00
2.491760000000000218e+03,1.198684000000000083e+00,9.787249999999999561e-01,9.853777000000000230e-01,1.062945999999999946e+00,1.132843000000000044e+00,9.909761999999999738e-01,1.058258649999999967e+00
2.492010000000000218e+03,1.200242999999999949e+00,1.193759000000000015e+00,1.104648000000000074e+00,1.027444000000000024e+00,1.052975999999999912e+00,1.015559000000000101e+00,1.099104833333333531e+00
2.492259999999999764e+03,1.189497999999999944e+00,1.006029999999999980e+00,1.054157999999999928e+00,1.178874999999999895e+00,9.925821999999999701e-01,1.171121999999999996e+00,1.098710866666666730e+00
2.492509999999999764e+03,1.078451000000000048e+00,1.111045999999999978e+00,1.114367000000000107e+00,1.094929000000000041e+00,1.120201999999999920e+00,1.087072999999999956e+00,1.101011333333333342e+00
2.492760000000000218e+03,1.123478999999999894e+00,1.195246999999999948e+00,1.134365999999999985e+00,1.057773999999999992e+00,1.111825000000000063e+00,1.242734999999999923e+00,1.144237666666666486e+00
2.493019999999999982e+03,1.157737000000000016e+00,1.130794000000000077e+00,1.008610999999999924e+00,1.128508999999999984e+00,1.186719999999999997e+00,1.047844999999999915e+00,1.110036000000000023e+00
2.493269999999999982e+03,1.188086999999999893e+00,1.142044000000000059e+00,1.087576000000000098e+00,1.196471999999999980e+00,1.162328999999999946e+00,1.187724999999999920e+00,1.160705499999999946e+00
2.493519999999999982e+03,1.067460999999999993e+00,1.153901999999999983e+00,1.124004999999999921e+00,9.578404999999999836e-01,1.149923999999999946e+00,1.138538999999999968e+00,1.098611916666666799e+00
2.493769999999999982e+03,1.153067000000000064e+00,1.228973000000000093e+00,1.118020000000000014e+00,1.090975999999999946e+00,1.102425999999999906e+00,1.106279999999999930e+00,1.133290333333333288e+00
2.494019999999999982e+03,1.146403000000000061e+00,1.132902000000000076e+00,1.226903999999999995e+00,1.132179000000000046e+00,1.157599999999999962e+00,1.210806999999999967e+00,1.167799166666666499e+00
2.494270000000000437e+03,1.112421000000000104e+00,1.140798999999999896e+00,1.179448000000000052e+00,1.150234999999999896e+00,1.089399000000000006e+00,1.101234999999999964e+00,1.128922833333333431e+00
2.494519999999999982e+03,1.068761999999999990e+00,1.132498999999999922e+00,1.099782000000000037e+00,1.119666000000000050e+00,1.176050999999999958e+00,1.107728000000000046e+00,1.117414666666666667e+00
2.494769999999999982e+03,1.240944000000000047e+00,1.175621999999999945e+00,1.076135999999999981e+00,1.060621000000000036e+00,1.113685000000000036e+00,1.136166000000000009e+00,1.133862333333333305e+00
2.495019999999999982e+03,1.057833000000000023e+00,1.181993999999999989e+00,1.066357999999999917e+00,1.176662000000000097e+00,1.149289000000000005e+00,1.217260000000000009e+00,1.141566000000000081e+00
2.495269999999999982e+03,1.147121000000000057e+00,1.203243000000000062e+00,1.073720999999999925e+00,1.194617999999999958e+00,1.227471999999999897e+00,1.213108000000000075e+00,1.176547166666666699e+00
2.495530000000000200e+03,1.260990999999999973e+00,1.100953999999999988e+00,1.187500999999999918e+00,1.124009000000000036e+00,1.133647999999999989e+00,1.149130999999999903e+00,1.159372333333333227e+00
2.495779999999999745e+03,1.081844000000000028e+00,1.084869000000000083e+00,1.020156999999999980e+00,1.038650000000000073e+00,1.241422999999999943e+00,1.203322000000000003e+00,1.111710833333333204e+00
2.496030000000000200e+03,1.129227999999999899e+00,1.066465999999999914e+00,1.035331000000000001e+00,1.188233000000000095e+00,1.193996999999999975e+00,1.192854999999999999e+00,1.134351666666666647e+00
2.496280000000000200e+03,1.137186999999999948e+00,1.106359000000000092e+00,1.180655999999999928e+00,1.206936000000000009e+00,1.196512000000000020e+00,1.159750000000000059e+00,1.164566666666666750e+00
2.496529999999999745e+03,1.222056999999999949e+00,1.088587999999999889e+00,1.109907999999999895e+00,1.053801999999999905e+00,1.120667000000000080e+00,1.036141999999999896e+00,1.105194000000000010e+00
2.496789999999999964e+03,1.181637999999999966e+00,1.191961000000000048e+00,1.289863999999999900e+00,1.147381999999999902e+00,1.189831000000000083e+00,1.013978999999999964e+00,1.169109166666666644e+00
2.497039999999999964e+03,1.174158000000000035e+00,1.239108000000000098e+00,1.251227000000000089e+00,1.261023000000000005e+00,1.082789999999999919e+00,1.091013000000000011e+00,1.183219833333333471e+00
2.497289999999999964e+03,1.231506999999999907e+00,1.114263000000000003e+00,1.087958999999999898e+00,1.160762000000000072e+00,1.233845000000000081e+00,1.325892000000000071e+00,1.192371333333333228e+00
2.497539999999999964e+03,1.038952000000000098e+00,1.049177999999999944e+00,1.246920999999999946e+00,1.067566000000000015e+00,1.149734000000000034e+00,1.190005999999999897e+00,1.123726166666666693e+00
2.497789999999999964e+03,1.144298999999999955e+00,1.140910000000000091e+00,1.137234999999999996e+00,1.129690000000000083e+00,1.160535000000000094e+00,1.335769999999999902e+00,1.174739833333333427e+00
2.498050000000000182e+03,1.201629000000000058e+00,1.171661000000000064e+00,1.155478999999999923e+00,1.129853999999999914e+00,1.101752000000000065e+00,1.174368999999999996e+00,1.155790666666666633e+00
2.498300000000000182e+03,1.053010000000000002e+00,1.061047999999999991e+00,1.064519999999999911e+00,1.189068999999999932e+00,1.251778000000000057e+00,1.159307000000000087e+00,1.129788666666666552e+00
