energy,s039,s040,s041,s042,s043,s044,s045,s046,s047,mean
2.478880000000000109e+03,7.035044000000000297e-01,7.383009000000000377e-01,6.860190999999999928e-01,5.876363000000000003e-01,7.140528000000000430e-01,7.204203000000000134e-01,6.991747999999999852e-01,7.284891000000000005e-01,6.050084999999999491e-01,6.869562444444443639e-01
2.479119999999999891e+03,7.085759999999999836e-01,6.664879000000000220e-01,7.064998999999999585e-01,6.258346999999999660e-01,6.470886000000000138e-01,7.024888999999999717e-01,7.031089999999999840e-01,6.891294999999999504e-01,6.161132000000000275e-01,6.739253000000000604e-01
2.479369999999999891e+03,6.667764000000000468e-01,6.577153999999999501e-01,6.799859000000000320e-01,6.289487000000000272e-01,6.881100999999999468e-01,6.289485000000000214e-01,7.291351999999999833e-01,7.421737000000000473e-01,6.603189999999999893e-01,6.757903222222223505e-01
2.479620000000000346e+03,6.844388999999999612e-01,7.786908000000000163e-01,6.544870999999999883e-01,6.679005000000000081e-01,6.999923999999999591e-01,7.546836999999999573e-01,7.727855000000000141e-01,6.454265000000000141e-01,7.786503999999999648e-01,7.152284222222222709e-01
2.479860000000000127e+03,7.942793000000000214e-01,7.576471999999999651e-01,8.378003000000000533e-01,8.184438000000000546e-01,8.272566000000000086e-01,8.697162999999999977e-01,8.058467000000000269e-01,8.189092000000000038e-01,7.551934999999999620e-01,8.094547666666667141e-01
2.480109999999999673e+03,9.129353999999999525e-01,8.632739999999999858e-01,1.021981999999999946e+00,9.181460000000000177e-01,8.897747999999999768e-01,8.755271000000000026e-01,8.850067999999999824e-01,9.016431000000000306e-01,9.539556000000000147e-01,9.135827555555555701e-01
2.480349999999999909e+03,8.931476999999999888e-01,1.094967000000000024e+00,1.132692999999999950e+00,1.115394999999999914e+00,1.192841999999999958e+00,1.142057000000000100e+00,1.126500999999999975e+00,1.097244000000000108e+00,1.136330000000000062e+00,1.103464077777777996e+00
2.480599999999999909e+03,1.227381000000000055e+00,1.373475000000000001e+00,1.131645000000000012e+00,1.337258000000000058e+00,1.236709000000000058e+00,1.295250000000000012e+00,1.432450999999999919e+00,1.311584000000000083e+00,1.298238000000000003e+00,1.293776777777777776e+00
2.480850000000000364e+03,1.606657999999999920e+00,1.518016999999999950e+00,1.572160000000000002e+00,1.659310000000000063e+00,1.714326000000000016e+00,1.737149000000000054e+00,1.627926999999999902e+00,1.581701999999999941e+00,1.563925999999999927e+00,1.620130555555555629e+00
2.481090000000000146e+03,1.995563999999999893e+00,1.993347999999999898e+00,1.995179000000000036e+00,2.000560999999999812e+00,2.160985000000000156e+00,2.036601000000000106e+00,2.209846999999999895e+00,2.069926000000000155e+00,1.957332999999999990e+00,2.046593777777777845e+00
2.481339999999999691e+03,2.628770999999999969e+00,2.816574999999999829e+00,2.953676000000000190e+00,3.021968999999999905e+00,2.822706000000000159e+00,2.818869999999999987e+00,3.025402000000000147e+00,2.712887999999999966e+00,2.795266999999999946e+00,2.844013777777777641e+00
2.481579999999999927e+03,3.723716000000000026e+00,3.629431999999999992e+00,3.798293000000000141e+00,3.763345999999999858e+00,3.899436999999999820e+00,3.940090999999999788e+00,3.802449000000000190e+00,3.967810000000000059e+00,3.527299000000000184e+00,3.783541444444444402e+00
2.481829999999999927e+03,4.515286999999999829e+00,4.151311999999999891e+00,4.218332000000000193e+00,4.161256999999999984e+00,4.219901000000000124e+00,4.402210000000000178e+00,4.714650999999999925e+00,4.474714999999999776e+00,4.234122000000000163e+00,4.343531888888888304e+00
2.482079999999999927e+03,4.550289000000000250e+00,4.416763000000000439e+00,4.588644000000000389e+00,4.490664999999999907e+00,4.529099000000000430e+00,4.713455999999999868e+00,4.879641999999999591e+00,4.739201999999999693e+00,4.428513999999999839e+00,4.592919333333332688e+00
2.482320000000000164e+03,4.616251000000000104e+00,4.024644999999999584e+00,4.159220999999999613e+00,4.506289999999999907e+00,4.430816000000000088e+00,4.263214999999999755e+00,4.571210999999999913e+00,4.453668000000000404e+00,4.349752999999999759e+00,4.375007777777778273e+00
2.482570000000000164e+03,3.955691999999999986e+00,3.980007000000000073e+00,3.796088999999999825e+00,3.904598000000000013e+00,3.964821999999999846e+00,4.060789999999999900e+00,3.991896999999999807e+00,4.037213000000000385e+00,4.086377999999999844e+00,3.975276222222221989e+00
2.482819999999999709e+03,3.321060000000000123e+00,3.279193999999999942e+00,3.374391000000000140e+00,3.234335999999999878e+00,3.189473000000000003e+00,3.580624999999999947e+00,3.392980000000000107e+00,3.284295000000000186e+00,3.288336000000000148e+00,3.327187777777778077e+00
2.483059999999999945e+03,2.853291000000000022e+00,2.717737000000000069e+00,2.826054000000000066e+00,2.637785000000000046e+00,2.720239999999999991e+00,2.659765999999999853e+00,2.836796999999999791e+00,2.602533999999999903e+00,2.616127999999999787e+00,2.718925777777778219e+00
2.483309999999999945e+03,2.246868000000000087e+00,1.987802000000000069e+00,2.218176999999999843e+00,2.098828999999999834e+00,2.053120999999999974e+00,2.059057999999999833e+00,2.246707999999999927e+00,2.207059000000000104e+00,2.043604000000000198e+00,2.129025111111110924e+00
2.483560000000000400e+03,1.761384000000000061e+00,1.623880999999999908e+00,1.749649000000000010e+00,1.612397000000000080e+00,1.922009999999999996e+00,1.733945000000000070e+00,1.972704999999999931e+00,1.713786999999999949e+00,1.435456999999999983e+00,1.725023888888888912e+00
2.483809999999999945e+03,1.397134000000000098e+00,1.507748000000000088e+00,1.349054999999999893e+00,1.412552000000000030e+00,1.417240999999999973e+00,1.647027000000000019e+00,1.299611999999999989e+00,1.258820999999999968e+00,1.320637999999999979e+00,1.401092000000000004e+00
2.484049999999999727e+03,1.216722999999999999e+00,1.318256000000000094e+00,1.344524000000000052e+00,1.370781999999999945e+00,1.264987000000000084e+00,1.214952000000000032e+00,1.388322999999999974e+00,1.368843000000000032e+00,1.157799999999999940e+00,1.293909999999999894e+00
2.484300000000000182e+03,1.234042000000000083e+00,1.243017000000000039e+00,1.082338999999999940e+00,1.291052000000000088e+00,1.344362999999999975e+00,1.205708000000000002e+00,1.204379000000000088e+00,1.304818999999999951e+00,1.218720000000000026e+00,1.236493222222222022e+00
2.484550000000000182e+03,1.095963999999999938e+00,1.220663000000000054e+00,1.221754999999999924e+00,1.023563999999999918e+00,1.235643000000000047e+00,1.081924000000000108e+00,1.218283999999999923e+00,1.093868999999999980e+00,1.066438999999999915e+00,1.139789444444444522e+00
